Order id,Razón Social ,Sucursal,Métodos De Pago,Subtotal $,Subvención Yummy $,Subtotal Mas Subvención Yummy,Total Cupones de Comercio $,IGTF Comercio $,Fecha De La Orden,Tipo de Delivery,Estado de la orden
"18733890","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","megasoft","30.9","0","30.9","0","0","2026-03-14 00:11:09.339","CoreLogistics","Finalizado"
"18733786","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","punto_de_venta","22.32","0","22.32","0","0","2026-03-13 23:06:26.222","CoreLogistics","Finalizado"
"18733792","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","3.55","0","3.55","0","0","2026-03-13 23:02:59.773","CoreLogistics","Finalizado"
"18733136","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","17.82","0","17.82","0","0","2026-03-13 21:58:43.571","CoreLogistics","Finalizado"
"18733226","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","stripe","19.83","0","19.83","0","0","2026-03-13 21:55:40.191","CoreLogistics","Finalizado"
"18732518","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","14.29","0","14.29","0","0","2026-03-13 21:21:10.702","CoreLogistics","Finalizado"
"18732288","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","8.5","0","8.5","0","0","2026-03-13 20:43:09.154","CoreLogistics","Finalizado"
"18730483","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","11.76","0","11.76","0","0","2026-03-13 18:51:12.325","CoreLogistics","Finalizado"
"18730019","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","20.58","0","20.58","0","0","2026-03-13 17:28:38.691","CoreLogistics","Finalizado"
"18729214","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","megasoft","25","0","25","0","0","2026-03-13 15:23:46.818","CoreLogistics","Finalizado"
"18729104","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","punto_de_venta","7.1","0","7.1","0","0","2026-03-13 15:18:39.913","CoreLogistics","Finalizado"
"18728934","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","stripe","26.99","0","26.99","0","0","2026-03-13 14:53:45.105","CoreLogistics","Finalizado"
"18727331","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","10.94","0","10.94","0","0","2026-03-13 13:09:15.630","CoreLogistics","Finalizado"
"18725681","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","stripe","23.02","0","23.02","0","0","2026-03-13 08:54:51.041","CoreLogistics","Finalizado"
