Tipo de Cargo;Número de pedido;Estado del pedido;Sucursal;Fecha del pedido;Hora;Motivo;Monto del Pedido;Comisión PeYa;Monto final
Cargos por cancelar o rechazar pedidos a usuarios;1882999060;RECHAZADO;2docemarket - 24hrs;1/2/2026 0:00;0:22:42;Horario de entrega retrasado;9,31;0,49;-0,49
Cargos por cancelar o rechazar pedidos a usuarios;1883922336;RECHAZADO;2docemarket;1/2/2026 0:00;19:11:40;Falta de productos;15;1,5;-1,5
Cargos por cancelar o rechazar pedidos a usuarios;1884086340;RECHAZADO;2docemarket;1/2/2026 0:00;20:14:41;Falta de productos;6;0,6;-0,6
Cargos por cancelar o rechazar pedidos a usuarios;1884154872;RECHAZADO;2docemarket;1/2/2026 0:00;20:34:11;Falta de productos;11,99;1,2;-1,2
Cargos por cancelar o rechazar pedidos a usuarios;1884105950;RECHAZADO;2docemarket;1/2/2026 0:00;20:31:28;Falta de productos;20,2;2,02;-2,02
Cargos por cancelar o rechazar pedidos a usuarios;1884443373;RECHAZADO;2docemarket - 24hrs;2/2/2026 0:00;0:42:54;Falta de productos;7;0,39;-0,39
Cargos por cancelar o rechazar pedidos a usuarios;1885597718;RECHAZADO;2docemarket - 24hrs;3/2/2026 0:00;2:30:36;Falta de productos;6,55;0,36;-0,36
Cargos por cancelar o rechazar pedidos a usuarios;1885690369;RECHAZADO;2docemarket;3/2/2026 0:00;9:32:31;Falta de productos;5;0,5;-0,5
Cargos por cancelar o rechazar pedidos a usuarios;1888320227;RECHAZADO;2docemarket;5/2/2026 0:00;15:53:00;Falta de productos;7,2;0,72;-0,72
Cargos por cancelar o rechazar pedidos a usuarios;1890221453;RECHAZADO;2docemarket - 24hrs;6/2/2026 0:00;22:47:51;Horario de entrega retrasado;2,45;0,16;-0,16
Cargos por cancelar o rechazar pedidos a usuarios;1890298349;RECHAZADO;2docemarket - 24hrs;7/2/2026 0:00;0:30:52;Horario de entrega retrasado;5,6;0,31;-0,31
Cargos por cancelar o rechazar pedidos a usuarios;1890471321;RECHAZADO;2docemarket;7/2/2026 0:00;12:37:33;Falta de productos;29;2,9;-2,9
