Order id;Razón Social ;Sucursal;Métodos De Pago;Subtotal $;Subvención Yummy $;Subtotal Mas Subvención Yummy;Total Cupones de Comercio $;IGTF Comercio $;Fecha De La Orden;Tipo de Delivery;Estado de la orden
18662618;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;InstantDebit;$6.00;$0.00;$6.00;$0.00;$0.00;2/3/2026;CoreLogistics;Finalizado
18630751;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;megasoft;$9.00;$0.00;$9.00;$0.00;$0.00;25/2/2026;CoreLogistics;Finalizado
18591062;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;megasoft;$4.00;$0.00;$4.00;$0.00;$0.00;18/2/2026;CoreLogistics;Finalizado
18581784;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;InstantDebit;$7.50;$0.00;$7.50;$0.00;$0.00;17/2/2026;CoreLogistics;Finalizado
18549556;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;megasoft;$6.00;$0.00;$6.00;$0.00;$0.00;12/2/2026;CoreLogistics;Finalizado
18546450;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;stripe;$10.00;$0.00;$10.00;$0.00;$0.00;12/2/2026;CoreLogistics;Finalizado
18525351;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;CreditsPagoMovilV2;$16.00;$0.00;$16.00;$0.00;$0.00;8/2/2026;CoreLogistics;Finalizado
18507287;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;InstantDebit;$13.00;$0.00;$13.00;$0.00;$0.00;5/2/2026;CoreLogistics;Finalizado
18491738;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;megasoft;$13.50;$0.00;$13.50;$0.00;$0.00;2/2/2026;CoreLogistics;Finalizado
18460159;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;megasoft;$16.50;$0.00;$16.50;$0.00;$0.00;28/1/2026;CoreLogistics;Finalizado
