Numero de Pedido;Sucursal;Fecha de Pedido;Monto bruto de la venta;Descuento comercial neto otorgado x PeYa;Descuento otorgado por el local;Cupon otorgado por el local;Desc. neto otorgado por Peya a usuarios;Descuentos neto por Retiro en el local;Descuento por Comodín pago por el local;Envío a cargo del local;Monto neto de la Venta ($);Descuentos PedidosYa a cobrar ($);Monto comisionable Servicios PedidosYa;Servicio Ventas PedidosYA (%);Servicio Logística PedidosYA (%);Servicio Ventas PedidoYa ($);Servicio Logística PedidosYa ($);Monto venta + envió cobrado por el local;Descuento tarifa de servicio al cliente;Pedido con Comodin;Método de pago;Cobrado por;Método de entrega
1848371181;2docemarket - 24hrs;2/1/2026;19.45;0;0;0;0;0;0;-1;19.45;0;20.45;5.00%;0.00%;1.02;0;20.45;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1848371222;2docemarket - 24hrs;2/1/2026;4.65;0;0;0;0;0;0;-0.85;4.65;0;5.5;5.00%;0.00%;0.28;0;5.5;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1848373907;2docemarket - 24hrs;3/1/2026;7.35;0;0;0;0;0;0;-0.5;7.35;0;7.85;5.00%;0.00%;0.39;0;7.85;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1848352476;2docemarket - 24hrs;3/1/2026;7.59;0;0;0;0;0;0;-0.7;7.59;0;8.29;5.00%;0.00%;0.41;0;8.29;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1849567170;2docemarket - 24hrs;4/1/2026;19;0;0;0;0;0;0;-0.72;19;0;19.72;5.00%;0.00%;0.99;0;0;0;No;Pago en la aplicación;PedidosYa;Envío de tu local
1845665601;Cafein - Las Mercedes;31/12/2025;7.5;0;1.5;0;0;0;2.25;0;6;0;3.75;5.00%;20.00%;0.19;0.75;0;0;Si;Pago en la aplicación;PedidosYa;Envío de PedidosYa
1846714217;Cafein - Las Mercedes;1/1/2026;32;0;0;0;0;0;0;0;32;0;32;5.00%;20.00%;1.6;6.4;0;0;No;Pago fuera de la aplicación;PedidosYa;Envío de PedidosYa
1850922737;2docemarket;5/1/2026;6.96;0;0;0;0;0;0;0;6.96;0;6.96;5.00%;5.00%;0.35;0.35;6.96;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1850928099;2docemarket;5/1/2026;33.7;0;0;0;16.84;0;0;0;14.17;19.53;33.7;5.00%;5.00%;1.69;1.69;14.17;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1850995415;2docemarket;5/1/2026;97.25;0;0;0;0;0;0;0;97.25;0;97.25;5.00%;5.00%;4.86;4.86;0;0;No;Pago en la aplicación;PedidosYa;Envío de PedidosYa
1851112181;2docemarket;5/1/2026;32.68;0;0;0;0;0;0;0;32.68;0;32.68;5.00%;5.00%;1.63;1.63;0;0;No;Pago fuera de la aplicación;PedidosYa;Envío de PedidosYa
1851184216;2docemarket;5/1/2026;11;0;0;0;0;0;0;0;11;0;11;5.00%;5.00%;0.55;0.55;11;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1851267275;2docemarket;5/1/2026;13;0;0;0;0;0;0;0;13;0;13;5.00%;5.00%;0.65;0.65;0;0;No;Pago en la aplicación;PedidosYa;Envío de PedidosYa
1851316997;2docemarket;5/1/2026;3.5;0;0;0;0;0;0;0;3.5;0;3.5;5.00%;5.00%;0.18;0.18;3.5;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1851314141;2docemarket;5/1/2026;22.9;0;0;0;0;0;0;0;22.9;0;22.9;5.00%;5.00%;1.15;1.15;22.9;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1851720802;2docemarket;6/1/2026;8.51;0;0;0;0;0;0;0;8.51;0;8.51;5.00%;5.00%;0.43;0.43;8.51;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1851813512;2docemarket;6/1/2026;10.51;0;0;0;0;0;0;0;10.51;0;10.51;5.00%;5.00%;0.53;0.53;10.51;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1851815081;2docemarket;6/1/2026;7.6;0;0;0;0;0;0;0;7.6;0;7.6;5.00%;5.00%;0.38;0.38;7.6;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1851830721;2docemarket;6/1/2026;31.67;0;0;0;0;0;0;0;31.67;0;31.67;5.00%;5.00%;1.58;1.58;31.67;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
