Tipo de Cargo;Número de pedido;Estado del pedido;Sucursal;Fecha del pedido;Hora;Motivo;Comentarios de los usuarios;Monto del Pedido;Reintegro al usuario por reclamo;% de cargo sobre el reintegro al usuario;Cargos por reclamos de los usuarios
Cargos por reclamos de los usuarios;1996944640;CONFIRMADO;2docemarket;7/5/2026 0:00;14:56:02;Calidad del producto;;19,46;5,49;1.00%;-5,49
Cargos por reclamos de los usuarios;2000344922;CONFIRMADO;2docemarket;9/5/2026 0:00;21:56:56;Orden incorrecta;;35,14;37,51;1.00%;-35,14
Cargos por reclamos de los usuarios;2000350242;CONFIRMADO;2docemarket;9/5/2026 0:00;21:52:42;Orden incorrecta;;2,39;2,79;1.00%;-2,39
Cargos por reclamos de los usuarios;2004673876;CONFIRMADO;Dos Doce Bistro;13/5/2026 0:00;19:16:04;Producto incorrecto;;5;5;1.00%;-5
Cargos por reclamos de los usuarios;2007008908;CONFIRMADO;2docemarket;15/5/2026 0:00;18:41:43;Calidad del producto;;10,47;10,46;1.00%;-10,46
Cargos por reclamos de los usuarios;2009121686;CONFIRMADO;2docemarket;17/5/2026 0:00;9:18:04;Producto faltante;;7,2;7,2;1.00%;-7,2
Cargos por reclamos de los usuarios;2014179722;CONFIRMADO;2docemarket;21/5/2026 0:00;17:07:23;Producto faltante;;47,05;2,49;1.00%;-2,49
Cargos por reclamos de los usuarios;2017515265;CONFIRMADO;2docemarket - 24hrs;24/5/2026 0:00;0:23:55;Calidad del producto;;19,2;2;1.00%;-2
Cargos por reclamos de los usuarios;PEN;CONFIRMADO;2doce Market - Valencia;24/5/2026 0:00;12:12:19;Producto faltante;;33,84;7;1.00%;-7
Cargos por reclamos de los usuarios;2017703342;CONFIRMADO;2doce Market - Valencia;24/5/2026 0:00;12:12:19;Producto faltante;;33,84;7;1.00%;-7
Cargos por reclamos de los usuarios;2023901768;CONFIRMADO;2docemarket;29/5/2026 0:00;13:03:49;Calidad del producto;;53,3;15,31;1.00%;-15,31
Cargos por reclamos de los usuarios;2048713253;CONFIRMADO;2doce Market - Valencia;17/6/2026 0:00;12:58:35;Calidad del producto;;14,74;1,65;1.00%;-1,65
Cargos por reclamos de los usuarios;2053990299;CONFIRMADO;2docemarket - 24hrs;21/6/2026 0:00;4:23:21;Orden incorrecta;;17,41;17,9;1.00%;-17,41
Cargos por reclamos de los usuarios;2055285206;CONFIRMADO;2docemarket;21/6/2026 0:00;21:05:40;Producto incorrecto;;9,98;3,17;1.00%;-3,17
Cargos por reclamos de los usuarios;2055371342;CONFIRMADO;2docemarket;21/6/2026 0:00;21:35:18;Calidad del producto;;39,44;19,66;1.00%;-19,66
